theory,variant,benchmark,recorded_status,benchmark_status,classification,runtime_seconds
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0110-labyrinth-16-0.smt2,sat,unknown,metadata-unknown,172.27460718154907
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0198-labyrinth-19-0.smt2,sat,unknown,metadata-unknown,624.2762033939362
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0075-labyrinth-13-0.smt2,sat,unknown,metadata-unknown,30.519623279571533
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0036-labyrinth-17-0.smt2,sat,unknown,metadata-unknown,160.96302437782288
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0043-labyrinth-13-0.smt2,sat,unknown,metadata-unknown,15.721399068832397
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0100-labyrinth-17-0.smt2,sat,unknown,metadata-unknown,131.4786398410797
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0018-labyrinth-11-0.smt2,sat,unknown,metadata-unknown,10.035963535308838
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0150-labyrinth-16-0.smt2,sat,unknown,metadata-unknown,378.7673673629761
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0159-labyrinth-20-0.smt2,sat,unknown,metadata-unknown,443.0295796394348
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0165-labyrinth-13-0.smt2,sat,unknown,metadata-unknown,44.97461676597595
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0011-labyrinth-12-0.smt2,sat,unknown,metadata-unknown,10.768155813217163
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0067-labyrinth-18-0.smt2,sat,unknown,metadata-unknown,183.06654357910156
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0059-labyrinth-13-0.smt2,sat,unknown,metadata-unknown,34.68118381500244
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0028-labyrinth-12-0.smt2,sat,unknown,metadata-unknown,19.7938072681427
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2,sat,unknown,metadata-unknown,17.61434316635132
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0175-labyrinth-15-0.smt2,sat,unknown,metadata-unknown,105.88373947143555
QF_LRA,full,/2017-Heizmann-UltimateInvariantSynthesis/_nested9.i_5_6_6.bpl_7.smt2,sat,unknown,metadata-unknown,476.20924973487854
QF_LRA,full,/2017-Heizmann-UltimateInvariantSynthesis/_array_ptr_single_elem_init.i_4_2_2.bpl_7.smt2,unsat,unknown,metadata-unknown,977.8504712581635
QF_LRA,no_bicp,/tropical-matrix/constraint-556101.smt2,sat,unknown,metadata-unknown,517.1892409324646
QF_LRA,no_bicp,/tropical-matrix/constraint-343414.smt2,sat,unknown,metadata-unknown,39.548691749572754
QF_LRA,no_bicp,/tropical-matrix/constraint-1007893.smt2,sat,unknown,metadata-unknown,523.3211815357208
QF_LRA,no_bicp,/tropical-matrix/constraint-251380.smt2,sat,unknown,metadata-unknown,92.14325785636902
QF_LRA,no_bicp,/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_7-phaseTemplate.smt2,unsat,unknown,metadata-unknown,169.36509537696838
QF_LRA,no_bicp,/LassoRanker/SV-COMP/BradleyMannaSipma-2005ICALP-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unsat,unknown,metadata-unknown,616.4260427951813
QF_LRA,no_bicp,/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unsat,unknown,metadata-unknown,193.86161708831787
QF_LRA,no_bicp,/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate.smt2,unsat,unknown,metadata-unknown,44.27423715591431
QF_LRA,no_bicp,/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,sat,unknown,metadata-unknown,63.737871408462524
QF_LRA,no_bicp,/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,unsat,unknown,metadata-unknown,43.31539344787598
QF_LRA,no_bicp,/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_4-pieceTemplate.smt2,sat,unknown,metadata-unknown,73.15414619445801
QF_LRA,no_bicp,/2019-ezsmt/routingMax/SCC_strong/p50.56.smt2,sat,unknown,metadata-unknown,5.155236482620239
QF_LRA,no_bicp,/2019-ezsmt/robotics/1_4.smt2,unsat,unknown,metadata-unknown,0.11608362197875977
QF_LRA,no_bicp,/2019-ezsmt/robotics/2_4.smt2,unsat,unknown,metadata-unknown,0.11575198173522949
QF_LRA,no_bicp,/2019-ezsmt/robotics/4_4.smt2,unsat,unknown,metadata-unknown,0.12255525588989258
QF_LRA,no_bicp,/2019-ezsmt/robotics/2_1.smt2,unsat,unknown,metadata-unknown,0.12526679039001465
QF_LRA,no_bicp,/2019-ezsmt/robotics/1_1.smt2,unsat,unknown,metadata-unknown,0.12115883827209473
QF_LRA,no_bicp,/2019-ezsmt/robotics/3_3.smt2,unsat,unknown,metadata-unknown,0.11506438255310059
QF_LRA,no_bicp,/2019-ezsmt/robotics/4_3.smt2,unsat,unknown,metadata-unknown,0.11572718620300293
QF_LRA,no_bicp,/2019-ezsmt/robotics/2_3.smt2,unsat,unknown,metadata-unknown,0.11622214317321777
QF_LRA,no_bicp,/2019-ezsmt/robotics/4_1.smt2,unsat,unknown,metadata-unknown,0.12396121025085449
